&id&tmp_id&attribute_ntp&color&amount
0&3&1&Color: color: 0&Wybierz kolor: 0&0
1&3&2&Color: color: 0&biały MD1288-3W (AZ1065): 0&8
2&3&3&Color: color: 0&czarny MD1288-3BL (AZ1064)  +30 zł: 0&3
3&3&4&Color: color: 0&czerwony MD1288-3RED (AZ1066)  +30 zł: 0&1
4&4&1&Color: color: 0&Wybierz kolor: 0&0
5&4&2&Color: color: 0&dymiony 8380: 0&2
6&4&3&Color: color: 0&złoty 8381: 0&7
7&13&1&Color: color: 0&Wybierz kolor: 0&0
8&13&2&Color: color: 0&biały 7993: 0&10
9&13&3&Color: color: 0&czarny 7994: 0&2
10&13&4&Color: color: 0&mosiądz 7995  +64 zł: 0&10
11&14&1&Color: color: 0&Wybierz kolor: 0&0
12&14&2&Color: color: 0&biały 8073: 0&8
13&14&3&Color: color: 0&czarny 8072: 0&2
14&14&4&Color: color: 0&mosiądz 8074  +60 zł: 0&7
15&30&1&Color: color: 0&Wybierz kolor: 0&0
16&30&2&Color: color: 0&czarny AL 7121-1 black: 0&1
17&30&3&Color: color: 0&srebrny AL 7121-1 silver  200 zł: 0&8
18&32&1&Color: color: 0&Wybierz kolor: 0&0
19&32&2&Color: color: 0&Biały 6492: 0&2
20&32&3&Color: color: 0&Czarny 6505: 0&1
21&32&4&Color: color: 0&Grafit 6498: 0&7
22&35&1&Color: color: 0&Wybierz kolor: 0&0
23&35&2&Color: color: 0&biały: 0&3
24&35&3&Color: color: 0&czarny: 0&8
25&36&1&Color: color: 0&Wybierz kolor: 0&0
26&36&2&Color: color: 0&biały 8268: 0&6
27&36&3&Color: color: 0&czarny 8263: 0&2
28&37&1&Color: color: 0&Wybierz kolor: 0&0
29&37&2&Color: color: 0&biały 8270: 0&2
30&37&3&Color: color: 0&czarny 8264: 0&2
31&38&1&Color: color: 0&Wybierz kolor: 0&0
32&38&2&Color: color: 0&biały 8272: 0&4
33&38&3&Color: color: 0&czarny 8266: 0&9
34&39&1&Color: color: 0&Wybierz kolor: 0&0
35&39&2&Color: color: 0&biały 8267: 0&10
36&39&3&Color: color: 0&czarny 8262: 0&8
37&42&1&Color: color: 0&Wybierz kolor: 0&0
38&42&2&Color: color: 0&biały MLP959: 0&10
39&42&3&Color: color: 0&różowy MLP962: 0&4
40&43&1&Color: color: 0&Wybierz kolor: 0&0
41&43&2&Color: color: 0&biały MLP9949: 0&10
42&43&3&Color: color: 0&ciemny róż MLP9955: 0&5
43&43&4&Color: color: 0&różowy MLP9952: 0&8
44&43&5&Color: color: 0&szary MLP9821: 0&6
45&46&1&Color: color: 0&Wybierz kolor: 0&0
46&46&2&Color: color: 0&Biały 9324: 0&9
47&46&3&Color: color: 0&Czarny 9325: 0&2
48&49&1&Color: color: 0&Wybierz kolor: 0&0
49&49&2&Color: color: 0&Biały 9020: 0&6
50&49&3&Color: color: 0&Czarny 9018: 0&4
51&50&1&Color: color: 0&Wybierz kolor: 0&0
52&50&2&Color: color: 0&Biały 9321: 0&8
53&50&3&Color: color: 0&Czarny 9322: 0&7
